Year,Quarter,Number of institutions reporting,Total employees (full-time equivalent),Total Assets,  Loans secured by real estate,    1-4 Family residential mortgages,    Nonfarm nonresidential,    Construction and development,    Home equity lines,    Multifamily residential real estate,    Farmland,    Real estate loans in foreign offices,  Commercial & industrial loans,  Loans to individuals,    Credit cards,    Other loans to individuals,        Auto loans,  Farm loans,  Loans to depository institutions,  Loans to foreign governments & official institutions,  Obligations of states & political subdivisions in the U.S.,  Other loans,  Acceptances of other banks,  Lease financing receivables,  Gross total loans and leases,    Less: Unearned income,  Total loans and leases,    Less: Reserve for losses,  Net loans and leases,  Securities,    Available for sale (fair value),    Held to maturity (amortized cost),    U.S. Treasury securities,    Mortgage-backed securities,    State and municipal securities,    Equity securities,  Cash and due from depository institutions,  Federal  funds sold and reverse repurchase agreements,  Bank premises and fixed assets,  Other real estate owned,  Trading account assets,  Intangible assets,    Goodwill,  Other Assets,Total liabilities and capital,  Deposits,    Foreign office deposits,    Domestic office deposits,      Interest-bearing deposits,      Noninterest-bearing deposits,      Estimated insured deposits,      Time deposits,      Brokered deposits,  Federal funds purchased & repurchase agreements,  FHLB advances,  Other borrowed money,  Banks liability on acceptances,  Subordinated debt,  Trading account liabilities,  Other liabilities,  Total liabilities,  Total equity capital,    Total bank equity capital  ,      Perpetual preferred stock,      Common stock,      Surplus,      Undivided profits,      Foreign currency translation adjustment,      Cumulative other comprehensive income,        Net unrealized gains/losses on a-f-s securities,Tier 1 leverage capital (PCA definition),Tier 1 risk based capital (PCA definition),Total risk based capital (PCA definition),Loans and leases 30-89 days past due,Loans and leases 90 days or more past due,Loans and leases in nonaccrual status,Restructured and current loans and leases,"Income earned, not collected on loans",Loans and leases in foreign offices,Assets in foreign offices,Loans and leases held for sale,Earning assets,Unused loan commitments - total,  Unused home equity lines,  Unused credit card lines,  Unused commercial real estate lines,  All other unused loan commitments,    Unused unsecured commercial real estate lines,  Unused securities underwriting commitments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of institutions reporting,Total employees (full-time equivalent),Total Assets,  Loans secured by real estate,    1-4 Family residential mortgages,    Nonfarm nonresidential,    Construction and development,    Home equity lines,    Multifamily residential real estate,    Farmland,    Real estate loans in foreign offices,  Commercial & industrial loans,  Loans to individuals,    Credit cards,    Other loans to individuals,        Auto loans,  Farm loans,  Loans to depository institutions,  Loans to foreign governments & official institutions,  Obligations of states & political subdivisions in the U.S.,  Other loans,  Acceptances of other banks,  Lease financing receivables,  Gross total loans and leases,    Less: Unearned income,  Total loans and leases,    Less: Reserve for losses,  Net loans and leases,  Securities,    Available for sale (fair value),    Held to maturity (amortized cost),    U.S. Treasury securities,    Mortgage-backed securities,    State and municipal securities,    Equity securities,  Cash and due from depository institutions,  Federal  funds sold and reverse repurchase agreements,  Bank premises and fixed assets,  Other real estate owned,  Trading account assets,  Intangible assets,    Goodwill,  Other Assets,Total liabilities and capital,  Deposits,    Foreign office deposits,    Domestic office deposits,      Interest-bearing deposits,      Noninterest-bearing deposits,      Estimated insured deposits,      Time deposits,      Brokered deposits,  Federal funds purchased & repurchase agreements,  FHLB advances,  Other borrowed money,  Banks liability on acceptances,  Subordinated debt,  Trading account liabilities,  Other liabilities,  Total liabilities,  Total equity capital,    Total bank equity capital  ,      Perpetual preferred stock,      Common stock,      Surplus,      Undivided profits,      Foreign currency translation adjustment,      Cumulative other comprehensive income,        Net unrealized gains/losses on a-f-s securities,Tier 1 leverage capital (PCA definition),Tier 1 risk based capital (PCA definition),Total risk based capital (PCA definition),Loans and leases 30-89 days past due,Loans and leases 90 days or more past due,Loans and leases in nonaccrual status,Restructured and current loans and leases,"Income earned, not collected on loans",Loans and leases in foreign offices,Assets in foreign offices,Loans and leases held for sale,Earning assets,Unused loan commitments - total,  Unused home equity lines,  Unused credit card lines,  Unused commercial real estate lines,  All other unused loan commitments,    Unused unsecured commercial real estate lines,  Unused securities underwriting commitments
1991,4,"14,483","1,792,478","4,550,192","1,533,088","844,614","325,205","129,398","93,219","96,160","18,527","25,964","581,769","432,550","147,499","285,051",N/A,"34,988","47,453","26,316","29,359","86,801","2,072","37,474","2,801,697","22,113","2,789,990","65,196","2,724,795","944,560",N/A,N/A,"222,948","456,630","75,530","17,790","341,342","162,860","64,650","46,750","67,891","23,116","13,563","157,820","4,550,192","3,594,403","304,642","3,289,761","2,797,918","491,843","2,694,847","1,613,052","76,409","256,889","66,483","150,627","16,521","28,486",N/A,"103,488","4,249,865","300,327","300,327","3,223","33,019","131,617","133,372",-683,-885,N/A,"282,985","282,985","346,409","59,202","13,863","86,307","25,333","22,916","204,648","397,926","20,612","4,027,305","1,245,442","61,017","477,456","51,683","609,139","9,023","2,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,1,"14,335","1,784,201","4,541,414","1,524,967","847,374","324,515","120,281","92,761","96,763","19,054","24,219","572,335","417,228","137,419","279,809",N/A,"33,349","46,128","26,037","28,431","91,976","1,596","36,754","2,769,281","20,568","2,758,438","65,946","2,692,492","971,358",N/A,N/A,"245,562","468,093","74,293","18,631","318,565","176,776","64,581","46,809","79,315","22,113","12,347","153,622","4,541,414","3,575,056","309,526","3,265,530","2,781,541","483,989","2,692,356","1,534,807","68,878","273,246","64,313","153,887","15,839","28,260",N/A,"105,839","4,231,410","310,005","310,005","2,890","33,122","135,121","139,814",-769,-917,N/A,"293,012","293,012","356,290","55,894","13,400","85,538","25,085","21,458","205,745","397,154","31,215","4,042,538","1,276,228","61,470","502,022","49,247","609,270","8,154","2,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,2,"14,177","1,782,582","4,522,169","1,512,680","840,743","323,919","114,285","93,397","96,930","19,667","23,739","565,161","416,354","137,785","278,569",N/A,"35,946","43,828","24,624","27,226","92,760","1,713","35,589","2,746,015","20,450","2,735,622","65,164","2,670,458","993,857",N/A,N/A,"258,271","473,817","73,409","18,596","309,963","164,346","65,089","45,879","83,710","23,391","12,891","150,089","4,522,169","3,533,961","303,566","3,230,396","2,733,476","496,920","2,658,831","1,467,776","65,149","254,738","64,169","160,556","15,454","30,667",N/A,"107,748","4,201,607","320,562","320,562","2,799","33,198","140,565","144,783",-658,-765,N/A,"302,257","302,257","367,557","47,998","12,226","81,285","27,275","20,830","209,469","407,850","27,724","4,027,822","1,284,809","63,684","523,799","47,872","601,497","7,865","2,389",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,3,"14,035","1,768,143","4,535,690","1,500,784","840,710","318,432","108,997","94,360","95,204","20,023","23,058","557,605","418,684","138,117","280,567",N/A,"36,702","40,075","24,465","26,697","96,085","1,855","35,854","2,729,497","19,404","2,719,596","64,719","2,654,877","1,018,622",N/A,N/A,"267,388","486,559","74,259","18,774","297,548","166,316","65,010","44,272","90,041","23,094","12,850","159,531","4,535,690","3,495,000","301,926","3,193,074","2,691,942","501,132","2,623,227","1,404,154","59,351","275,047","62,896","165,283","16,446","33,180",N/A,"121,244","4,205,229","330,461","330,461","3,108","33,619","142,980","151,571",-723,-805,N/A,"312,639","312,639","380,838","47,486","11,831","76,510","26,197","20,265","213,028","419,476","35,754","4,039,258","1,327,552","64,310","549,323","49,375","606,473","8,972","1,678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,4,"13,854","1,774,201","4,541,325","1,487,382","839,677","320,082","98,079","93,566","94,648","19,987","21,343","548,170","422,461","146,074","276,388",N/A,"35,014","38,174","24,234","25,219","92,017","1,953","35,565","2,701,292","18,271","2,692,153","63,764","2,628,389","1,040,581",N/A,N/A,"279,651","490,796","73,634","18,852","332,889","170,827","64,573","40,699","82,061","22,820","12,820","142,457","4,541,325","3,527,089","286,799","3,240,290","2,685,640","554,650","2,644,698","1,337,713","57,931","278,961","64,058","157,787","16,188","36,787",N/A,"98,140","4,203,508","337,817","337,817","3,079","33,740","147,554","154,479",-939,"-1,019",N/A,"320,291","320,291","391,085","47,010","10,389","68,835","26,934","18,678","198,960","396,499","39,295","4,039,347","1,348,919","66,983","572,933","46,885","605,250","8,786","1,515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,1,"13,684","1,754,358","4,528,140","1,478,829","835,685","320,405","92,544","93,355","93,934","20,104","22,802","542,683","418,188","141,352","276,836",N/A,"33,178","36,560","24,845","23,938","93,017","1,988","35,401","2,680,028","17,436","2,671,451","63,726","2,607,726","1,067,473",N/A,N/A,"286,175","511,764","73,695","19,632","295,952","163,104","65,080","39,411","95,742","23,211","12,836","155,897","4,528,140","3,456,493","304,439","3,152,055","2,653,745","498,309","2,602,682","1,287,128","54,869","298,787","68,235","171,353","14,639","37,076",N/A,"116,237","4,179,333","348,807","348,807","3,013","34,097","150,452","162,257",-947,"-1,003",N/A,"331,323","331,323","402,463","45,726","9,910","65,581","26,842","18,533","205,186","419,821","34,501","4,040,530","1,382,996","67,045","586,927","47,383","615,418","8,456","6,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,2,"13,515","1,761,473","4,577,983","1,494,880","856,239","321,238","88,535","93,515","92,471","20,717","22,164","543,634","427,410","147,802","279,608",N/A,"35,740","38,229","23,692","23,125","103,857","2,403","35,819","2,720,344","16,850","2,712,263","62,854","2,649,409","1,074,390",N/A,N/A,"283,443","522,424","74,944","19,962","296,360","156,373","65,618","34,369","104,180","23,390","13,076","160,080","4,577,983","3,468,587","312,362","3,156,225","2,619,994","536,232","2,577,408","1,260,218","51,755","289,509","71,448","181,588","13,892","39,633",N/A,"121,630","4,220,552","357,431","357,431","2,994","34,290","153,028","168,218","-1,051","-1,099",N/A,"339,910","339,910","413,399","39,718","9,412","59,399","24,230","18,175","209,503","430,710","45,954","4,087,282","1,434,155","68,637","609,997","48,380","633,593","7,842","2,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,3,"13,380","1,763,967","4,641,711","1,506,602","866,822","323,251","87,607","92,415","93,551","20,984","21,972","539,419","440,566","152,569","287,997",N/A,"37,462","37,768","24,396","22,923","109,902","1,860","36,586","2,748,691","16,659","2,741,161","62,806","2,678,356","1,090,639",N/A,N/A,"288,047","528,193","77,546","21,540","298,073","157,847","66,252","29,680","115,415","22,921","12,821","168,111","4,641,711","3,477,069","322,654","3,154,415","2,608,516","545,899","2,569,388","1,236,837","49,261","312,074","74,956","197,340","14,477","39,700",N/A,"122,715","4,275,024","366,687","366,687","3,155","34,585","154,957","174,992","-1,081","-1,121",N/A,"349,242","349,242","423,391","39,229","9,718","55,199","23,180","18,603","212,008","438,361","47,386","4,140,473","1,484,691","70,464","629,980","51,324","652,652","7,956","1,894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,4,"13,222","1,780,598","4,711,354","1,518,437","881,198","324,014","85,441","90,463","93,975","20,994","22,350","548,394","457,540","164,742","292,798",N/A,"37,171","44,871","20,147","21,448","113,087","2,154","38,179","2,792,841","16,012","2,785,738","61,467","2,724,270","1,113,275",N/A,N/A,"293,610","535,425","79,773","23,468","304,269","160,866","66,647","23,911","124,599","24,033","13,615","156,155","4,711,354","3,528,515","329,997","3,198,518","2,615,341","583,177","2,582,913","1,219,263","48,016","308,436","76,035","214,619","13,423","39,905",N/A,"118,556","4,336,329","375,025","375,025","3,131","34,471","158,631","176,502","-1,129","1,940",N/A,"353,628","353,628","428,057","38,698","8,446","47,717","20,474","17,663","215,517","448,365","56,304","4,222,768","1,551,460","72,555","662,934","53,547","682,817","8,742","2,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,1,"13,081","1,774,161","4,843,916","1,506,452","869,812","326,268","82,830","89,183","93,774","21,381","23,204","558,591","459,655","160,788","298,867",N/A,"36,043","49,808","16,046","20,948","113,210","1,894","38,606","2,792,227","15,910","2,785,679","61,760","2,723,919","1,142,599","539,951","602,648","310,332","538,059","80,887","22,868","298,959","161,913","67,170","21,759","223,113","23,991","13,541","166,795","4,843,916","3,523,313","355,877","3,167,436","2,608,672","558,764","2,573,793","1,205,898","45,499","327,067","75,190","206,613","13,746","39,764","124,098","116,779","4,463,626","380,291","380,291","3,257","34,925","161,749","181,750","-1,104","-1,493",-286,"361,849","361,849","436,819","39,898","8,186","45,027","15,614","17,681","223,685","521,848","43,145","4,241,399","1,631,366","75,029","718,843","58,789","698,339","9,512","2,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,2,"12,935","1,775,896","4,895,162","1,532,489","889,441","329,333","82,535","90,820","94,283","22,072","24,004","574,167","477,592","169,018","308,575",N/A,"39,780","54,924","15,700","20,849","107,063","2,229","40,319","2,854,920","17,033","2,848,454","61,014","2,787,440","1,140,553","512,228","628,325","301,026","545,348","80,429","22,013","299,700","149,539","68,047","19,048","229,311","26,007","14,903","162,029","4,895,162","3,522,903","377,397","3,145,506","2,589,505","556,001","2,568,598","1,212,332","45,586","337,320","79,256","220,205","13,535","39,945","151,767","105,067","4,510,108","385,054","385,054","3,111","35,715","164,697","187,150","-1,053","-5,215","-4,565","369,382","369,382","444,830","34,438","7,968","39,844","15,016","18,732","229,228","530,958","33,197","4,270,672","1,668,940","77,074","759,796","64,042","710,706","10,830","1,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,3,"12,776","1,755,019","4,932,364","1,565,456","914,700","331,981","84,677","92,079","94,290","22,561","25,167","584,886","500,634","179,802","320,832",N/A,"41,164","58,885","14,497","20,557","100,884","1,910","42,842","2,921,635","16,902","2,915,133","60,570","2,854,562","1,133,195","485,470","647,725","286,407","547,329","80,009","22,011","301,109","146,715","69,012","16,985","208,306","28,342","16,234","160,404","4,932,364","3,541,193","403,247","3,137,946","2,587,632","550,314","2,571,266","1,238,598","49,179","352,578","83,362","244,372","13,775","41,086","133,163","103,495","4,539,523","392,841","392,841","3,068","35,880","168,290","192,537","-1,000","-6,301","-5,934","376,684","376,684","453,806","34,374","7,896","36,286","14,415","19,590","231,055","519,826","33,048","4,330,344","1,760,629","77,689","808,967","67,733","751,914","11,527","2,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,4,"12,605","1,751,220","5,022,361","1,600,638","943,657","335,461","84,530","93,209","94,601","22,725","26,457","598,979","527,282","197,520","329,762",N/A,"39,214","68,247","13,263","19,887","103,525","1,745","46,003","3,009,283","16,546","3,002,617","59,943","2,942,674","1,113,336","470,984","642,352","270,607","541,196","79,161","21,987","328,767","155,362","69,924","13,982","194,499","29,755","17,348","160,619","5,022,361","3,611,620","431,915","3,179,705","2,597,589","582,116","2,585,499","1,276,142","55,755","365,318","88,861","272,276","13,504","43,151","118,764","99,445","4,630,200","392,161","392,161","3,180","36,235","170,155","193,036","-1,016","-9,405","-9,430","378,138","378,138","457,619","36,702","7,703","32,542","13,726","20,634","233,863","527,142","30,072","4,413,598","1,867,697","80,319","877,768","68,732","785,584","11,361","1,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1,"12,362","1,732,499","5,132,798","1,629,178","964,589","341,206","85,421","93,511","94,712","23,105","26,634","633,380","529,236","194,111","335,125",N/A,"37,352","74,630","12,754","19,745","105,998","1,655","47,165","3,082,122","15,836","3,075,642","60,514","3,015,128","1,099,246","464,109","635,137","262,104","534,228","77,717","22,751","297,384","161,088","70,676","11,990","258,835","32,643","19,602","170,068","5,132,798","3,607,127","442,305","3,164,822","2,626,516","538,307","2,601,888","1,354,267","59,077","373,757","83,537","288,513","15,764","43,318","186,008","116,144","4,726,736","406,062","406,062","3,298","36,687","174,859","196,391",-937,"-4,867","-4,237","384,260","384,260","464,649","38,747","8,144","33,631","12,543","21,414","253,683","609,131","34,972","4,474,379","1,990,637","82,478","973,513","68,085","809,851","11,856","1,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,2,"12,253","1,733,352","5,190,621","1,657,218","983,662","343,028","86,975","96,797","96,043","23,726","26,988","651,758","543,369","201,912","341,457",N/A,"40,346","76,811","12,300","19,304","112,391","1,696","50,088","3,156,215","15,910","3,149,700","60,496","3,089,204","1,095,325","468,167","627,158","241,213","536,543","76,529","24,436","306,423","172,971","71,228","11,027","221,019","33,286","20,007","174,538","5,190,621","3,651,929","439,560","3,212,369","2,640,190","572,178","2,621,891","1,389,343","56,650","380,723","79,350","299,151","15,635","44,799","149,404","115,231","4,772,465","418,155","418,155","3,264","36,647","177,015","201,562",-927,-465,594,"390,984","390,984","473,624","36,614","8,396","32,417","12,073","22,488","255,100","604,101","44,041","4,556,387","2,096,554","85,225","1,041,962","69,944","838,062","10,671","1,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,3,"12,114","1,734,149","5,256,475","1,683,388","1,003,943","344,558","89,228","97,645","96,778","23,980","27,256","659,377","560,330","210,432","349,898",N/A,"41,924","84,221","12,341","19,273","113,659","1,653","53,357","3,220,137","16,006","3,213,784","60,288","3,153,496","1,109,036","496,548","612,488","235,091","541,092","76,096","25,462","299,020","165,752","71,807","10,507","224,460","35,381","21,033","170,298","5,256,475","3,673,870","449,649","3,224,221","2,657,027","567,195","2,626,726","1,404,187","55,426","396,017","80,374","319,592","16,750","46,267","147,995","118,901","4,827,120","429,355","429,355","3,264","36,884","180,338","208,689",-960,34,"1,140","400,344","400,344","484,877","39,801","9,067","31,398","10,874","24,026","262,546","614,065","42,909","4,636,338","2,169,686","87,077","1,078,942","74,354","866,839","10,656","1,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,4,"11,972","1,735,446","5,340,963","1,690,071","1,005,789","349,043","90,420","97,917","95,710","23,992","27,202","673,661","578,282","226,976","351,306",N/A,"40,233","87,221","11,004","18,817","116,007","1,881","58,388","3,266,837","15,221","3,260,691","60,274","3,200,417","1,099,487","787,815","311,672","216,381","544,717","76,034","25,995","333,329","192,087","72,209","9,217","217,823","37,084","21,713","163,129","5,340,963","3,769,482","454,094","3,315,388","2,693,159","622,229","2,661,994","1,410,383","55,773","381,795","85,143","331,396","16,237","46,117","143,161","118,369","4,905,116","435,847","435,847","3,420","37,229","183,862","207,560",-995,"2,979","4,772","401,992","401,992","487,688","43,047","9,256","30,323","9,855","24,433","265,870","585,096","52,502","4,697,745","2,278,068","88,559","1,158,788","76,593","891,801","11,145","1,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,1,"11,845","1,722,712","5,327,522","1,699,705","1,013,650","351,140","91,871","95,739","95,546","24,111","27,648","689,193","568,164","214,500","353,664",N/A,"38,125","95,300","11,627","18,522","121,671","2,138","62,319","3,297,880","15,114","3,291,982","60,288","3,231,694","1,090,751","776,796","313,955","212,978","543,102","76,180","27,370","299,061","184,154","72,580","8,874","208,668","39,202","23,586","175,555","5,327,522","3,760,522","454,432","3,306,089","2,722,534","583,556","2,673,179","1,434,888","55,495","374,254","85,917","328,741","17,043","47,820","132,685","127,413","4,888,243","439,279","439,279","3,481","37,382","187,961","211,056","-1,013",-905,413,"407,970","407,970","495,314","43,265","9,499","31,022","9,225","23,947","287,155","603,535","54,914","4,712,238","2,386,987","90,964","1,220,079","78,896","923,975","12,544","1,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,2,"11,672","1,741,516","5,422,841","1,723,773","1,023,070","356,883","95,848","98,825","96,338","24,751","28,058","698,831","582,842","222,459","360,383",N/A,"41,527","102,253","11,752","18,398","128,929","1,970","66,838","3,367,062","16,242","3,361,165","60,966","3,300,199","1,085,994","769,660","316,334","202,131","539,859","75,584","27,795","311,912","169,418","73,748","8,302","219,817","50,983","29,857","184,469","5,422,841","3,789,097","462,031","3,327,065","2,712,988","614,077","2,669,462","1,442,498","58,942","371,287","92,543","353,267","18,050","50,220","140,008","128,376","4,971,848","450,993","450,993","3,462","36,923","200,824","213,550","-1,069","-3,486","-2,698","414,188","414,188","504,492","42,191","9,659","29,493","8,610","24,692","301,136","631,485","51,412","4,768,529","2,490,020","93,655","1,285,288","84,426","953,023","13,285","1,469",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,3,"11,550","1,735,810","5,496,864","1,752,768","1,041,283","362,005","99,888","100,408","97,307","25,013","26,864","713,249","597,204","230,799","366,405",N/A,"42,162","103,351","11,166","18,584","131,923","1,563","73,411","3,434,794","16,719","3,428,942","61,196","3,367,746","1,071,792","760,826","310,965","194,608","529,542","75,714","29,035","328,201","167,524","74,767","7,640","229,718","51,665","30,392","178,272","5,496,864","3,826,209","451,054","3,375,156","2,733,662","641,493","2,667,916","1,467,951","57,515","372,268","98,805","368,847","19,578","50,945","130,573","137,868","5,041,169","455,695","455,695","3,448","36,585","203,866","213,385","-1,081","-1,569",-508,"416,394","416,394","508,849","43,782","10,585","29,027","8,876","25,042","303,909","628,573","44,252","4,831,208","2,558,395","94,958","1,331,330","87,594","971,872","14,554","1,435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,4,"11,454","1,743,507","5,611,184","1,776,203","1,054,337","366,059","102,017","103,572","97,680","25,087","28,083","724,453","611,030","245,791","365,240",N/A,"41,458","114,393","10,771","18,686","141,103","1,557","79,706","3,509,471","15,788","3,503,905","61,130","3,442,775","1,063,012","764,418","298,676","179,255","528,927","76,964","30,639","359,694","174,088","75,772","7,193","241,788","52,947","31,328","174,920","5,611,184","3,925,061","473,580","3,451,481","2,777,872","673,610","2,688,872","1,481,856","58,265","370,206","103,606","384,977","18,297","53,568","150,539","118,173","5,149,078","461,432","461,432","3,483","36,324","206,317","213,613","-1,112","1,229","2,762","419,669","419,669","515,640","47,764","10,612","27,445","8,280","25,160","322,250","672,026","44,495","4,916,245","2,692,521","96,764","1,417,935","89,982","1,017,063","16,916",626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
